============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
79633         BOWLER        Haris Rauf                BOWL_END
79639         STRIKER       Ravindra Jadeja           BAT_START
79652         STRIKER       Ravindra Jadeja           BAT_END
79653         STRIKER       Ravindra Jadeja           RUN_START
79656         FIELDER       Mohammad Rizwan           CATCH
79668         NON_STRIKER   Suryakumar Yadav          RUN_START
81307         NON_STRIKER   Suryakumar Yadav          RUN_END
82087         STRIKER       Ravindra Jadeja           RUN_END
83219         BOWLER        Haris Rauf                BOWL_START
83229         BOWLER        Haris Rauf                BOWL_END
83238         STRIKER       Axar Patel                BAT_START
83257         STRIKER       Axar Patel                BAT_END
83260         STRIKER       Axar Patel                RUN_START
83266         FIELDER       Mohammad Wasim Jr.        CATCH
83269         NON_STRIKER   Suryakumar Yadav          RUN_START
85463         NON_STRIKER   Suryakumar Yadav          RUN_END
86163         STRIKER       Axar Patel                RUN_END
86459         BOWLER        Haris Rauf                BOWL_START
86463         BOWLER        Haris Rauf                BOWL_END
86472         STRIKER       Suryakumar Yadav          BAT_START
86495         STRIKER       Suryakumar Yadav          BAT_END
86497         FIELDER       Babar Azam                CATCH
86498         STRIKER       Suryakumar Yadav          RUN_START
86513         NON_STRIKER   Axar Patel                RUN_START
87764         NON_STRIKER   Axar Patel                RUN_END
88960         STRIKER       Suryakumar Yadav          RUN_END
89331         BOWLER        Haris Rauf                BOWL_START
89339         BOWLER        Haris Rauf                BOWL_END
89349         STRIKER       Suryakumar Yadav          BAT_START
89363         STRIKER       Suryakumar Yadav          BAT_END
89364         FIELDER       Azam Khan                 CATCH
89365         STRIKER       Suryakumar Yadav          RUN_START
89386         NON_STRIKER   Axar Patel                RUN_START
90701         STRIKER       Suryakumar Yadav          RUN_END
90941         NON_STRIKER   Axar Patel                RUN_END
91362         BOWLER        Haris Rauf                BOWL_START
91369         BOWLER        Haris Rauf                BOWL_END
91375         STRIKER       Suryakumar Yadav          BAT_START
91391         STRIKER       Suryakumar Yadav          BAT_END
91393         STRIKER       Suryakumar Yadav          RUN_START
91396         FIELDER       Imad Wasim                CATCH
91431         NON_STRIKER   Axar Patel                RUN_START
92576         NON_STRIKER   Axar Patel                RUN_END
94262         STRIKER       Suryakumar Yadav          RUN_END
94453         BOWLER        Haris Rauf                BOWL_START
94463         BOWLER        Haris Rauf                BOWL_END
94467         STRIKER       Suryakumar Yadav          BAT_START
94476         STRIKER       Suryakumar Yadav          BAT_END
94478         STRIKER       Suryakumar Yadav          RUN_START
94479         FIELDER       Shaheen Afridi            CATCH
94517         NON_STRIKER   Axar Patel                RUN_START
95951         NON_STRIKER   Axar Patel                RUN_END
96677         STRIKER       Suryakumar Yadav          RUN_END
96875         BOWLER        Shadab Khan               BOWL_START
96880         BOWLER        Shadab Khan               BOWL_END
96936         STRIKER       Suryakumar Yadav          BAT_START
96964         STRIKER       Suryakumar Yadav          BAT_END
96967         STRIKER       Suryakumar Yadav          RUN_START
96967         FIELDER       Imad Wasim                CATCH
97043         NON_STRIKER   Axar Patel                RUN_START
98388         NON_STRIKER   Axar Patel                RUN_END
99170         STRIKER       Suryakumar Yadav          RUN_END
99370         BOWLER        Shadab Khan               BOWL_START
99380         BOWLER        Shadab Khan               BOWL_END
99390         STRIKER       Suryakumar Yadav          BAT_START
99413         STRIKER       Suryakumar Yadav          BAT_END
99414         NON_STRIKER   Axar Patel                RUN_START
99416         FIELDER       Babar Azam                CATCH
99416         STRIKER       Suryakumar Yadav          RUN_START
100901        NON_STRIKER   Axar Patel                RUN_END
101167        STRIKER       Suryakumar Yadav          RUN_END
101345        BOWLER        Shadab Khan               BOWL_START
101354        BOWLER        Shadab Khan               BOWL_END
101364        STRIKER       Axar Patel                BAT_START
101382        STRIKER       Axar Patel                BAT_END
101384        STRIKER       Axar Patel                RUN_START
101385        FIELDER       Mohammad Rizwan           CATCH
101387        NON_STRIKER   Suryakumar Yadav          RUN_START
102481        STRIKER       Axar Patel                RUN_END
104439        NON_STRIKER   Suryakumar Yadav          RUN_END
104614        BOWLER        Shadab Khan               BOWL_START
104626        BOWLER        Shadab Khan               BOWL_END
104629        STRIKER       Axar Patel                BAT_START
104641        STRIKER       Axar Patel                BAT_END
104644        STRIKER       Axar Patel                RUN_START
104651        FIELDER       Mohammad Wasim Jr.        CATCH
104686        NON_STRIKER   Suryakumar Yadav          RUN_START
105826        STRIKER       Axar Patel                RUN_END
106001        NON_STRIKER   Suryakumar Yadav          RUN_END
106592        BOWLER        Shadab Khan               BOWL_START
106602        BOWLER        Shadab Khan               BOWL_END
106612        STRIKER       Suryakumar Yadav          BAT_START
106636        FIELDER       Mohammad Wasim Jr.        CATCH
106640        STRIKER       Suryakumar Yadav          BAT_END
106643        STRIKER       Suryakumar Yadav          RUN_START
106661        NON_STRIKER   Axar Patel                RUN_START
109304        STRIKER       Suryakumar Yadav          RUN_END
109477        NON_STRIKER   Axar Patel                RUN_END
109619        BOWLER        Shadab Khan               BOWL_START
109625        BOWLER        Shadab Khan               BOWL_END
109630        STRIKER       Suryakumar Yadav          BAT_START
109643        STRIKER       Suryakumar Yadav          BAT_END
109645        STRIKER       Suryakumar Yadav          RUN_START
109645        FIELDER       Fakhar Zaman              CATCH
109668        NON_STRIKER   Axar Patel                RUN_START
111028        STRIKER       Suryakumar Yadav          RUN_END
112166        NON_STRIKER   Axar Patel                RUN_END
113338        BOWLER        Imad Wasim                BOWL_START
113352        BOWLER        Imad Wasim                BOWL_END
113360        STRIKER       Axar Patel                BAT_START
113397        STRIKER       Axar Patel                BAT_END
113399        STRIKER       Axar Patel                RUN_START
113404        FIELDER       Azam Khan                 CATCH
113439        NON_STRIKER   Suryakumar Yadav          RUN_START
115320        STRIKER       Axar Patel                RUN_END
116370        NON_STRIKER   Suryakumar Yadav          RUN_END
116576        BOWLER        Imad Wasim                BOWL_START
116586        BOWLER        Imad Wasim                BOWL_END
116598        STRIKER       Suryakumar Yadav          BAT_START
116621        STRIKER       Suryakumar Yadav          BAT_END
116624        NON_STRIKER   Axar Patel                RUN_START
116624        FIELDER       Mohammad Rizwan           CATCH
116624        STRIKER       Suryakumar Yadav          RUN_START
117743        NON_STRIKER   Axar Patel                RUN_END
119256        STRIKER       Suryakumar Yadav          RUN_END
119410        BOWLER        Imad Wasim                BOWL_START
119419        BOWLER        Imad Wasim                BOWL_END
119423        STRIKER       Suryakumar Yadav          BAT_START
119445        STRIKER       Suryakumar Yadav          BAT_END
119446        FIELDER       Mohammad Rizwan           CATCH
119448        NON_STRIKER   Axar Patel                RUN_START
119448        STRIKER       Suryakumar Yadav          RUN_START
121020        STRIKER       Suryakumar Yadav          RUN_END
122191        NON_STRIKER   Axar Patel                RUN_END
122538        BOWLER        Imad Wasim                BOWL_START
122542        BOWLER        Imad Wasim                BOWL_END
122548        STRIKER       Axar Patel                BAT_START
122570        STRIKER       Axar Patel                BAT_END
122572        STRIKER       Axar Patel                RUN_START
122572        FIELDER       Shadab Khan               CATCH
122650        NON_STRIKER   Suryakumar Yadav          RUN_START
124150        STRIKER       Axar Patel                RUN_END
124427        NON_STRIKER   Suryakumar Yadav          RUN_END
124650        BOWLER        Imad Wasim                BOWL_START
124659        BOWLER        Imad Wasim                BOWL_END
124666        STRIKER       Axar Patel                BAT_START
124680        STRIKER       Axar Patel                BAT_END
124682        STRIKER       Axar Patel                RUN_START
124685        FIELDER       Azam Khan                 CATCH
124701        NON_STRIKER   Suryakumar Yadav          RUN_START
126868        NON_STRIKER   Suryakumar Yadav          RUN_END
126973        STRIKER       Axar Patel                RUN_END
127197        BOWLER        Imad Wasim                BOWL_START
127201        BOWLER        Imad Wasim                BOWL_END
127212        STRIKER       Axar Patel                BAT_START
127224        STRIKER       Axar Patel                BAT_END
127225        FIELDER       Iftikhar Ahmed            CATCH
127226        STRIKER       Axar Patel                RUN_START
127242        NON_STRIKER   Suryakumar Yadav          RUN_START
129880        STRIKER       Axar Patel                RUN_END
130066        NON_STRIKER   Suryakumar Yadav          RUN_END
130269        BOWLER        Mohammad Wasim Jr.        BOWL_START
130280        BOWLER        Mohammad Wasim Jr.        BOWL_END
130286        STRIKER       Suryakumar Yadav          BAT_START
130295        STRIKER       Suryakumar Yadav          BAT_END
130297        STRIKER       Suryakumar Yadav          RUN_START
130298        NON_STRIKER   Axar Patel                RUN_START
130303        FIELDER       Naseem Shah               CATCH
